Year,Surname,Frecuency
2023,Trillo,835
2023,Mira,833
2023,Montiel,833
2023,Pereda,832
2023,Cadenas,831
2023,Andújar,830
2023,Belmonte,829
2023,Novoa,829
2023,Viñas,829
2023,Pazos,828
2023,Zabala,828
2023,Betancourt,827
2023,Holguín,827
2023,Serroukh,827
2023,Holgado,826
2023,Olivera,823
2023,Uribe,823
2023,Neira,822
2023,Ali,819
2023,Cubillo,819
2023,Mendieta,817
2023,Diallo,814
2023,Rodas,813
2023,Arana,812
2023,Serra,809
2023,Tenorio,809
2023,Hierro,808
2023,Ares,807
2023,Guo,807
2023,Villena,806
2023,Avalos,804
2023,Parras,803
2023,Noriega,800
2023,Quintanilla,800
2023,Losa,799
2023,Barajas,798
2023,Cortez,798
2023,Quezada,797
2023,Quero,796
2023,Monsalve,794
2023,Vaquerizo,794
2023,Sola,793
2023,Donaire,792
2023,Goncalves,792
2023,Berzal,791
2023,Popescu,791
2023,Zarza,791
2023,Aragonés,789
2023,Moncada,788
2023,Falcón,787
2023,Castejón,786
2023,Magan,783
2023,Salido,783
2023,Zaragoza,782
2023,Maeso,781
2023,Solera,781
2023,Garrote,779
2023,Fidalgo,778
2023,Pimentel,778
2023,Vilchez,778
2023,Gabarre,777
2023,Murcia,777
2023,Marte,776
2023,Melo,776
2023,Souza,776
2023,Bajo,775
2023,Olalla,775
2023,Domenech,774
2023,Tejeda,774
2023,Heredero,771
2023,Ivanov,770
2023,Parejo,768
2023,Abellán,765
2023,Mate,764
2023,Sanguino,763
2023,Mayorga,761
2023,Echeverría,760
2023,Lora,759
2023,Manzanero,759
2023,Barros,758
2023,Torrico,757
2023,Morgado,756
2023,Camino,755
2023,Andreu,754
2023,Valcárcel,753
2023,Zarate,752
2023,Ivanova,751
2023,Verdugo,751
2023,Utrilla,748
2023,Lugo,746
2023,Borreguero,744
2023,Lema,741
2023,Matamoros,741
2023,Pina,741
2023,Beltre,739
2023,Rangel,739
2023,Xia,738
2023,Velarde,737
2023,Valderrama,735
2023,Iñigo,732
2023,Zurdo,732
2023,Pinedo,731
2023,Angel,730
2023,Rosas,730
2023,Carracedo,726
2023,Cuervo,726
2023,Stan,726
2023,Colmenarejo,725
2023,Ciudad,724
2023,Puig,724
2023,Castillejo,723
